Date,Username,Feature,Sessions,Time spent,Average time spent
26/06/2017,sferguson,Reporting,16,18,1.125
27/06/2017,jhuang,Automation,17,0,0
27/06/2017,acox,Reporting,15,16,1.066666667
27/06/2017,twright,Account Managment,13,23,1.769230769
27/06/2017,tosborne,Roadmap,13,52,4
27/06/2017,lwheeler,Saga Creation,17,23,1.352941176
27/06/2017,zhodges,Task Creation,17,11,0.647058824
28/06/2017,evilla,Account Managment,16,9,0.5625
28/06/2017,cstuart,Reporting,16,30,1.875
28/06/2017,zhodges,Automation,15,6,0.4
28/06/2017,ahanna,Roadmap,15,45,3
29/06/2017,soneill,Saga Creation,14,18,1.285714286
29/06/2017,kwalter,Account Managment,17,10,0.588235294
29/06/2017,atucker,Reporting,16,32,2
29/06/2017,dbriggs,Task Creation,13,22,1.692307692
30/06/2017,evega,Account Managment,17,12,0.705882353
30/06/2017,shardin,Automation,14,1,0.071428571
30/06/2017,kcarr,Saga Creation,13,28,2.153846154
30/06/2017,prubio,Task Creation,16,20,1.25
30/06/2017,jbarajas,Roadmap,16,55,3.4375
01/07/2017,awoodward,Saga Creation,13,31,2.384615385
01/07/2017,sshepard,Reporting,17,31,1.823529412
01/07/2017,jgreen,Account Managment,17,20,1.176470588
01/07/2017,swise,Task Creation,16,21,1.3125
01/07/2017,jbeasley,Automation,15,14,0.933333333
02/07/2017,ecoleman,Saga Creation,16,19,1.1875
02/07/2017,cdudley,Reporting,17,30,1.764705882
02/07/2017,bhensley,Account Managment,16,13,0.8125
02/07/2017,jhansen,Automation,17,18,1.058823529
02/07/2017,rcalhoun,Roadmap,17,58,3.411764706
03/07/2017,bparker,Reporting,14,34,2.428571429
03/07/2017,ofrye,Account Managment,13,17,1.307692308
03/07/2017,bwise,Automation,13,9,0.692307692
03/07/2017,skelly,Task Creation,16,24,1.5
04/07/2017,qwyatt,Roadmap,16,59,3.6875
04/07/2017,shumphrey,Saga Creation,17,17,1
04/07/2017,agardner,Task Creation,13,27,2.076923077
04/07/2017,jhuang,Reporting,16,23,1.4375
04/07/2017,shardin,Automation,17,16,0.941176471
04/07/2017,sferguson,Account Managment,13,14,1.076923077
05/07/2017,prubio,Saga Creation,16,28,1.75
05/07/2017,qwyatt,Roadmap,17,56,3.294117647
05/07/2017,aosborn,Reporting,14,32,2.285714286
05/07/2017,prubio,Automation,13,13,1
05/07/2017,atucker,Account Managment,13,11,0.846153846
05/07/2017,evega,Task Creation,16,19,1.1875
06/07/2017,ipierce,Reporting,16,16,1
06/07/2017,prubio,Saga Creation,15,34,2.266666667
06/07/2017,chenson,Roadmap,17,47,2.764705882
06/07/2017,sfox,Account Managment,14,19,1.357142857
06/07/2017,atucker,Automation,14,16,1.142857143
07/07/2017,nclarke,Reporting,16,24,1.5
07/07/2017,slarson,Task Creation,13,21,1.615384615
07/07/2017,ncooke,Account Managment,16,19,1.1875
07/07/2017,ewaller,Automation,13,14,1.076923077
07/07/2017,hjames,Saga Creation,15,19,1.266666667
08/07/2017,wharvey,Reporting,17,28,1.647058824
08/07/2017,shartman,Automation,16,5,0.3125
08/07/2017,shardin,Account Managment,14,12,0.857142857
08/07/2017,aortega,Saga Creation,13,18,1.384615385
09/07/2017,kvilla,Saga Creation,16,26,1.625
09/07/2017,alara,Automation,16,14,0.875
09/07/2017,nphillips,Roadmap,15,47,3.133333333
09/07/2017,skelly,Task Creation,17,23,1.352941176
09/07/2017,evega,Reporting,17,30,1.764705882
10/07/2017,kreese,Task Creation,16,13,0.8125
10/07/2017,jnicholson,Reporting,14,24,1.714285714
10/07/2017,ewaller,Saga Creation,17,28,1.647058824
10/07/2017,rconway,Automation,14,14,1
10/07/2017,kcarr,Account Managment,15,19,1.266666667
10/07/2017,ggiles,Roadmap,15,47,3.133333333
11/07/2017,akeller,Roadmap,15,57,3.8
11/07/2017,chodge,Saga Creation,13,21,1.615384615
11/07/2017,jbeasley,Reporting,15,22,1.466666667
11/07/2017,prubio,Account Managment,14,10,0.714285714
11/07/2017,jbeasley,Automation,17,5,0.294117647
11/07/2017,jhuang,Task Creation,13,25,1.923076923
12/07/2017,jbarajas,Reporting,13,25,1.923076923
12/07/2017,nphillips,Account Managment,14,13,0.928571429
12/07/2017,ahernandez,Saga Creation,15,25,1.666666667
12/07/2017,chenson,Roadmap,16,42,2.625
12/07/2017,bwise,Task Creation,15,26,1.733333333
13/07/2017,chodge,Account Managment,13,20,1.538461538
13/07/2017,qwyatt,Reporting,17,30,1.764705882
13/07/2017,cdudley,Saga Creation,17,26,1.529411765
13/07/2017,sshepard,Task Creation,15,22,1.466666667
13/07/2017,evilla,Roadmap,15,44,2.933333333
14/07/2017,nphillips,Task Creation,17,23,1.352941176
14/07/2017,jbarajas,Reporting,13,21,1.615384615
14/07/2017,bparker,Roadmap,13,58,4.461538462
14/07/2017,ncooke,Automation,15,7,0.466666667
14/07/2017,dbell,Saga Creation,14,29,2.071428571
15/07/2017,kalvarado,Task Creation,15,17,1.133333333
15/07/2017,bwise,Roadmap,16,43,2.6875
15/07/2017,trusso,Saga Creation,17,34,2
15/07/2017,evega,Reporting,15,29,1.933333333
15/07/2017,cstuart,Automation,16,13,0.8125
16/07/2017,nblair,Task Creation,13,14,1.076923077
16/07/2017,kwalter,Account Managment,14,9,0.642857143
16/07/2017,jhansen,Roadmap,13,55,4.230769231
16/07/2017,kdurham,Reporting,15,27,1.8
16/07/2017,ahanna,Saga Creation,16,29,1.8125
17/07/2017,qwyatt,Saga Creation,17,24,1.411764706
17/07/2017,gcarroll,Reporting,14,17,1.214285714
17/07/2017,shumphrey,Roadmap,14,58,4.142857143
17/07/2017,evega,Automation,16,5,0.3125
17/07/2017,kwalter,Account Managment,17,15,0.882352941
18/07/2017,bwise,Task Creation,15,11,0.733333333
18/07/2017,shumphrey,Roadmap,17,46,2.705882353
18/07/2017,evilla,Reporting,14,24,1.714285714
18/07/2017,slarson,Account Managment,16,19,1.1875
19/07/2017,shorne,Roadmap,13,55,4.230769231
19/07/2017,bparker,Automation,15,16,1.066666667
19/07/2017,ggiles,Task Creation,14,22,1.571428571
19/07/2017,evilla,Account Managment,14,20,1.428571429
19/07/2017,ecampos,Saga Creation,16,23,1.4375
19/07/2017,kreese,Reporting,16,25,1.5625
20/07/2017,jgreen,Automation,15,19,1.266666667
20/07/2017,jbeasley,Saga Creation,14,21,1.5
20/07/2017,alara,Roadmap,13,59,4.538461538
20/07/2017,bedwards,Account Managment,14,20,1.428571429
20/07/2017,qwyatt,Reporting,16,18,1.125
20/07/2017,kkane,Task Creation,17,16,0.941176471
21/07/2017,acombs,Saga Creation,13,30,2.307692308
21/07/2017,shumphrey,Reporting,13,16,1.230769231
21/07/2017,ablackwell,Account Managment,16,5,0.3125
21/07/2017,ehodges,Task Creation,16,20,1.25
22/07/2017,ofrye,Automation,15,16,1.066666667
22/07/2017,ahanna,Task Creation,14,21,1.5
22/07/2017,kgalloway,Saga Creation,13,25,1.923076923
22/07/2017,ecoleman,Account Managment,16,5,0.3125
22/07/2017,shumphrey,Reporting,17,15,0.882352941
22/07/2017,kreese,Roadmap,14,46,3.285714286
23/07/2017,jnicholson,Account Managment,17,23,1.352941176
23/07/2017,edillon,Automation,14,11,0.785714286
23/07/2017,zhodges,Task Creation,17,19,1.117647059
23/07/2017,awoodward,Roadmap,13,48,3.692307692
23/07/2017,gcarroll,Reporting,15,27,1.8
24/07/2017,kashley,Reporting,14,34,2.428571429
24/07/2017,acombs,Automation,17,0,0
24/07/2017,acombs,Task Creation,14,13,0.928571429
24/07/2017,kkane,Roadmap,15,54,3.6
24/07/2017,kwalter,Saga Creation,14,16,1.142857143
25/07/2017,ewaller,Task Creation,14,22,1.571428571
25/07/2017,ofrye,Reporting,14,29,2.071428571
25/07/2017,ahanna,Automation,13,13,1
25/07/2017,slarson,Account Managment,15,18,1.2
25/07/2017,skelly,Roadmap,17,52,3.058823529
25/07/2017,jbarajas,Saga Creation,17,26,1.529411765
26/07/2017,fsexton,Saga Creation,15,23,1.533333333
26/07/2017,evilla,Account Managment,13,9,0.692307692
26/07/2017,sfox,Automation,15,7,0.466666667
26/07/2017,agardner,Task Creation,14,14,1
26/07/2017,mgonzalez,Reporting,14,35,2.5
26/07/2017,acox,Roadmap,13,44,3.384615385
27/07/2017,rherman,Roadmap,16,45,2.8125
27/07/2017,kflowers,Automation,15,20,1.333333333
27/07/2017,fsexton,Reporting,14,34,2.428571429
27/07/2017,bparker,Saga Creation,15,33,2.2
27/07/2017,kcarr,Task Creation,17,10,0.588235294
28/07/2017,nblair,Account Managment,17,18,1.058823529
28/07/2017,ecampos,Roadmap,14,55,3.928571429
28/07/2017,jnicholson,Automation,13,20,1.538461538
28/07/2017,shardin,Saga Creation,16,22,1.375
28/07/2017,lbuck,Task Creation,16,30,1.875
29/07/2017,kflowers,Task Creation,15,23,1.533333333
29/07/2017,ecoleman,Reporting,14,23,1.642857143
29/07/2017,bedwards,Automation,17,4,0.235294118
29/07/2017,shartman,Account Managment,13,11,0.846153846
29/07/2017,afuentes,Saga Creation,15,16,1.066666667
30/07/2017,jbeasley,Account Managment,16,21,1.3125
30/07/2017,dhays,Automation,17,2,0.117647059
30/07/2017,greilly,Saga Creation,15,17,1.133333333
30/07/2017,kdurham,Task Creation,14,18,1.285714286
30/07/2017,cstuart,Roadmap,16,47,2.9375
31/07/2017,ecoleman,Reporting,15,18,1.2
31/07/2017,bparker,Roadmap,17,59,3.470588235
31/07/2017,kvilla,Automation,15,4,0.266666667
31/07/2017,sferguson,Task Creation,16,29,1.8125
31/07/2017,edillon,Account Managment,15,16,1.066666667
01/08/2017,ahernandez,Saga Creation,10,31,3.1
01/08/2017,bwise,Reporting,11,32,2.909090909
01/08/2017,afuentes,Automation,14,19,1.357142857
01/08/2017,trusso,Task Creation,14,28,2
01/08/2017,wharvey,Account Managment,12,20,1.666666667
02/08/2017,acox,Account Managment,12,8,0.666666667
02/08/2017,sferguson,Roadmap,10,42,4.2
02/08/2017,evega,Reporting,12,30,2.5
02/08/2017,evilla,Automation,16,4,0.25
02/08/2017,evega,Task Creation,16,13,0.8125
03/08/2017,fsexton,Task Creation,14,20,1.428571429
03/08/2017,bhensley,Reporting,9,25,2.777777778
03/08/2017,shorne,Account Managment,8,21,2.625
04/08/2017,kflowers,Account Managment,10,17,1.7
04/08/2017,cvillarreal,Task Creation,14,22,1.571428571
05/08/2017,cstuart,Automation,17,8,0.470588235
05/08/2017,evilla,Account Managment,9,13,1.444444444
05/08/2017,ahanna,Reporting,9,32,3.555555556
05/08/2017,dbriggs,Saga Creation,10,32,3.2
06/08/2017,evega,Saga Creation,10,25,2.5
06/08/2017,lbuck,Roadmap,12,41,3.416666667
06/08/2017,evega,Reporting,9,35,3.888888889
06/08/2017,shartman,Automation,15,2,0.133333333
07/08/2017,kalvarado,Automation,16,17,1.0625
07/08/2017,amurphy,Saga Creation,12,27,2.25
07/08/2017,ehodges,Account Managment,11,13,1.181818182
07/08/2017,acox,Task Creation,17,15,0.882352941
08/08/2017,gcarroll,Saga Creation,9,35,3.888888889
08/08/2017,kalvarado,Reporting,8,16,2
08/08/2017,dhays,Task Creation,15,12,0.8
08/08/2017,cvillarreal,Automation,15,10,0.666666667
08/08/2017,dhays,Roadmap,10,45,4.5
09/08/2017,bparker,Account Managment,8,24,3
09/08/2017,sshepard,Automation,14,8,0.571428571
09/08/2017,kashley,Roadmap,11,41,3.727272727
09/08/2017,cdudley,Saga Creation,10,17,1.7
09/08/2017,kalvarado,Task Creation,15,14,0.933333333
10/08/2017,ofrye,Saga Creation,10,21,2.1
10/08/2017,afuentes,Automation,13,3,0.230769231
10/08/2017,chenson,Roadmap,9,59,6.555555556
10/08/2017,shorne,Task Creation,15,17,1.133333333
10/08/2017,kreese,Reporting,8,26,3.25
10/08/2017,edillon,Account Managment,10,16,1.6
11/08/2017,bparker,Automation,14,15,1.071428571
11/08/2017,bedwards,Account Managment,12,9,0.75
11/08/2017,ofrye,Saga Creation,12,29,2.416666667
11/08/2017,bhensley,Reporting,12,17,1.416666667
11/08/2017,soneill,Task Creation,14,27,1.928571429
12/08/2017,mgonzalez,Reporting,10,27,2.7
12/08/2017,trusso,Task Creation,15,22,1.466666667
12/08/2017,kcarr,Roadmap,8,56,7
12/08/2017,jbarajas,Saga Creation,12,30,2.5
13/08/2017,zmack,Saga Creation,10,23,2.3
13/08/2017,ncooke,Account Managment,9,21,2.333333333
13/08/2017,acombs,Task Creation,15,27,1.8
13/08/2017,cstuart,Automation,14,1,0.071428571
13/08/2017,hjames,Roadmap,8,58,7.25
14/08/2017,jbarajas,Task Creation,13,18,1.384615385
14/08/2017,afuentes,Roadmap,8,40,5
14/08/2017,skelly,Account Managment,9,25,2.777777778
15/08/2017,amurphy,Roadmap,9,45,5
15/08/2017,kgalloway,Saga Creation,11,25,2.272727273
15/08/2017,kvilla,Account Managment,10,7,0.7
15/08/2017,mforbes,Task Creation,15,13,0.866666667
15/08/2017,chenson,Reporting,9,15,1.666666667
16/08/2017,trusso,Saga Creation,11,27,2.454545455
16/08/2017,tduffy,Reporting,11,28,2.545454545
16/08/2017,amurphy,Roadmap,12,47,3.916666667
16/08/2017,ipierce,Automation,16,9,0.5625
17/08/2017,agardner,Reporting,11,28,2.545454545
17/08/2017,slarson,Task Creation,14,28,2
17/08/2017,rcalhoun,Automation,16,14,0.875
17/08/2017,dhays,Roadmap,10,42,4.2
17/08/2017,skelly,Account Managment,8,14,1.75
17/08/2017,greilly,Saga Creation,11,26,2.363636364
18/08/2017,dbenton,Saga Creation,9,15,1.666666667
18/08/2017,kgalloway,Automation,14,14,1
18/08/2017,slarson,Roadmap,9,49,5.444444444
18/08/2017,aosborn,Account Managment,11,19,1.727272727
18/08/2017,rrobles,Task Creation,17,29,1.705882353
18/08/2017,edillon,Reporting,9,18,2
19/08/2017,kvilla,Reporting,12,15,1.25
19/08/2017,zhodges,Task Creation,17,27,1.588235294
19/08/2017,awoodward,Roadmap,12,55,4.583333333
19/08/2017,evilla,Saga Creation,8,30,3.75
19/08/2017,fsexton,Automation,13,15,1.153846154
20/08/2017,ecampos,Account Managment,10,7,0.7
20/08/2017,hjames,Saga Creation,9,32,3.555555556
20/08/2017,kreese,Task Creation,17,11,0.647058824
20/08/2017,acombs,Automation,14,15,1.071428571
20/08/2017,nphillips,Roadmap,8,60,7.5
20/08/2017,rherman,Reporting,8,33,4.125
21/08/2017,bparker,Reporting,12,16,1.333333333
21/08/2017,mgonzalez,Task Creation,16,26,1.625
21/08/2017,tduffy,Automation,13,5,0.384615385
21/08/2017,cstuart,Account Managment,8,11,1.375
21/08/2017,yfriedman,Saga Creation,9,16,1.777777778
21/08/2017,jbarajas,Roadmap,9,43,4.777777778
22/08/2017,evilla,Task Creation,16,21,1.3125
22/08/2017,eberry,Reporting,10,33,3.3
22/08/2017,bparker,Automation,16,9,0.5625
22/08/2017,cvillarreal,Saga Creation,12,20,1.666666667
22/08/2017,ipierce,Roadmap,11,59,5.363636364
23/08/2017,atucker,Account Managment,12,7,0.583333333
23/08/2017,jnicholson,Saga Creation,9,32,3.555555556
23/08/2017,amurphy,Automation,13,3,0.230769231
23/08/2017,rconway,Task Creation,15,19,1.266666667
23/08/2017,bedwards,Reporting,11,18,1.636363636
23/08/2017,cvillarreal,Roadmap,10,53,5.3
24/08/2017,gcarroll,Roadmap,12,51,4.25
24/08/2017,mmayer,Task Creation,13,10,0.769230769
24/08/2017,kflowers,Reporting,9,29,3.222222222
25/08/2017,rrobles,Account Managment,9,16,1.777777778
25/08/2017,kkane,Reporting,8,16,2
26/08/2017,kdurham,Account Managment,12,15,1.25
26/08/2017,skelly,Saga Creation,9,15,1.666666667
26/08/2017,rherman,Automation,17,8,0.470588235
26/08/2017,ofrye,Reporting,9,18,2
26/08/2017,ehodges,Roadmap,10,40,4
26/08/2017,evega,Task Creation,16,18,1.125
27/08/2017,nclarke,Automation,16,4,0.25
27/08/2017,amurphy,Roadmap,8,52,6.5
27/08/2017,eberry,Saga Creation,11,34,3.090909091
27/08/2017,slarson,Account Managment,10,8,0.8
27/08/2017,atucker,Task Creation,16,15,0.9375
28/08/2017,sfox,Account Managment,10,11,1.1
28/08/2017,skelly,Reporting,12,34,2.833333333
28/08/2017,kalvarado,Saga Creation,12,35,2.916666667
28/08/2017,dbenton,Automation,17,20,1.176470588
28/08/2017,afuentes,Task Creation,15,20,1.333333333
29/08/2017,mstephens,Reporting,12,15,1.25
29/08/2017,edillon,Saga Creation,11,33,3
29/08/2017,fsexton,Roadmap,8,41,5.125
29/08/2017,dhays,Task Creation,16,28,1.75
29/08/2017,alara,Automation,17,3,0.176470588
29/08/2017,ahanna,Account Managment,9,24,2.666666667
30/08/2017,mbarron,Task Creation,13,28,2.153846154
30/08/2017,qwyatt,Account Managment,10,5,0.5
30/08/2017,kflowers,Automation,14,19,1.357142857
30/08/2017,acombs,Saga Creation,9,31,3.444444444
30/08/2017,kflowers,Reporting,11,16,1.454545455
31/08/2017,shorne,Automation,14,20,1.428571429
31/08/2017,jhansen,Task Creation,13,29,2.230769231
31/08/2017,shumphrey,Roadmap,10,49,4.9
31/08/2017,jgreen,Account Managment,9,23,2.555555556
31/08/2017,dhays,Reporting,8,25,3.125
01/09/2017,nclarke,Saga Creation,20,16,0.8
01/09/2017,afuentes,Automation,16,16,1
01/09/2017,ncooke,Task Creation,17,13,0.764705882
01/09/2017,rherman,Roadmap,19,56,2.947368421
01/09/2017,bhensley,Reporting,18,34,1.888888889
02/09/2017,jbeasley,Task Creation,16,28,1.75
02/09/2017,hjames,Saga Creation,21,19,0.904761905
02/09/2017,bcastaneda,Automation,13,13,1
02/09/2017,alara,Reporting,22,31,1.409090909
02/09/2017,dbell,Roadmap,19,53,2.789473684
02/09/2017,twright,Account Managment,19,17,0.894736842
03/09/2017,sfox,Automation,14,16,1.142857143
03/09/2017,rrobles,Reporting,21,34,1.619047619
03/09/2017,tosborne,Task Creation,16,11,0.6875
03/09/2017,ahernandez,Saga Creation,20,24,1.2
03/09/2017,cpetersen,Roadmap,19,50,2.631578947
04/09/2017,aosborn,Account Managment,19,5,0.263157895
04/09/2017,kcarr,Reporting,20,26,1.3
04/09/2017,ahernandez,Automation,13,20,1.538461538
04/09/2017,mgonzalez,Roadmap,19,47,2.473684211
04/09/2017,shumphrey,Task Creation,17,18,1.058823529
04/09/2017,cvillarreal,Saga Creation,19,35,1.842105263
05/09/2017,nblair,Account Managment,20,11,0.55
05/09/2017,wharvey,Roadmap,20,60,3
05/09/2017,zhodges,Automation,17,16,0.941176471
05/09/2017,awoodward,Task Creation,14,15,1.071428571
06/09/2017,cpetersen,Automation,17,4,0.235294118
06/09/2017,aortega,Reporting,20,35,1.75
06/09/2017,kdurham,Roadmap,21,54,2.571428571
06/09/2017,kwalter,Saga Creation,21,22,1.047619048
06/09/2017,mstephens,Task Creation,13,13,1
07/09/2017,zhodges,Automation,14,7,0.5
07/09/2017,tduffy,Account Managment,22,12,0.545454546
07/09/2017,nphillips,Saga Creation,19,30,1.578947368
07/09/2017,shumphrey,Reporting,20,23,1.15
07/09/2017,slarson,Roadmap,21,43,2.047619048
07/09/2017,sshepard,Task Creation,13,30,2.307692308
08/09/2017,dhays,Automation,15,4,0.266666667
08/09/2017,ipierce,Reporting,21,33,1.571428571
08/09/2017,bhensley,Task Creation,16,12,0.75
08/09/2017,jbeasley,Roadmap,21,40,1.904761905
09/09/2017,slarson,Saga Creation,22,15,0.681818182
09/09/2017,ipierce,Reporting,22,33,1.5
09/09/2017,acombs,Account Managment,19,10,0.52631579
09/09/2017,ecampos,Automation,17,19,1.117647059
10/09/2017,rconway,Automation,16,9,0.5625
10/09/2017,cvillarreal,Task Creation,14,12,0.857142857
10/09/2017,aortega,Account Managment,19,20,1.052631579
10/09/2017,wharvey,Reporting,21,15,0.714285714
10/09/2017,shartman,Roadmap,22,55,2.5
10/09/2017,acox,Saga Creation,22,33,1.5
11/09/2017,shartman,Roadmap,22,58,2.636363636
11/09/2017,ehodges,Task Creation,17,30,1.764705882
11/09/2017,yfriedman,Saga Creation,19,34,1.789473684
12/09/2017,slarson,Reporting,22,15,0.681818182
12/09/2017,lbuck,Saga Creation,20,34,1.7
12/09/2017,qwyatt,Account Managment,18,25,1.388888889
12/09/2017,evega,Automation,15,3,0.2
13/09/2017,amurphy,Task Creation,14,18,1.285714286
13/09/2017,awoodward,Saga Creation,20,23,1.15
13/09/2017,ipierce,Automation,14,14,1
13/09/2017,jnicholson,Roadmap,20,55,2.75
13/09/2017,hjames,Account Managment,21,13,0.619047619
14/09/2017,kashley,Saga Creation,21,19,0.904761905
14/09/2017,shardin,Task Creation,15,25,1.666666667
14/09/2017,alara,Roadmap,20,43,2.15
14/09/2017,ewaller,Reporting,20,26,1.3
14/09/2017,dbriggs,Automation,13,4,0.307692308
15/09/2017,shartman,Account Managment,18,13,0.722222222
15/09/2017,skelly,Saga Creation,21,24,1.142857143
